dsname,bs_train,bs_accu,rp_accu,ct_accu,c5_accu
wdbc,0.955009884,0.906839634,0.925475661,0.921952063,0.92581789
auto,0.930102041,0.862244898,0.870408163,0.864795918,0.895408163
birthwt,0.891970885,0.61793953,0.649608063,0.664602464,0.682609183
heart,0.930054026,0.724782154,0.761698327,0.745216103,0.768983095
GlaucomaMVF,0.963529412,0.862352941,0.843529412,0.817647059,0.842352941
titanic,0.790821319,0.786824209,0.782827677,0.784553381,0.778556271
parkin,0.937407953,0.817494214,0.827614138,0.823637703,0.843025458
ILPD,0.916294779,0.6652156,0.688189051,0.69193499,0.67170362
Ionos,0.948711039,0.854730519,0.875769481,0.892344156,0.883198052
pima,0.914583333,0.702083333,0.7296875,0.739322917,0.731770833
sonar,0.968269231,0.688461538,0.705769231,0.704807692,0.704807692
trans,0.832887701,0.754010695,0.772459893,0.756951872,0.769518717
peptide,0.947741935,0.881935484,0.872903226,0.877419355,0.889032258
hepatitis,0.936746587,0.71994672,0.794605395,0.802397602,0.771628372
derm,0.968852459,0.909289617,0.928415301,0.921311475,0.940983607
derm.noi,0.980327869,0.882513661,0.91147541,0.909289617,0.919125683
iris,0.957333333,0.898666667,0.936,0.936,0.926666667
Iris,0.978666667,0.932,0.937333333,0.929333333,0.922666667
dystrophy,0.93014652,0.822994505,0.798131868,0.792335165,0.817216117
smiley,1,0.9908,0.9932,0.9888,0.99
spirals,0.957666667,0.892666667,0.865666667,0.65,0.945666667
