"dsname","bs_train","bs_accu_sd","rp_accu_sd","ct_accu_sd","c5_accu_sd"
"wdbc",0.0111752705900123,0.0212314674221302,0.0142790786636162,0.0156200893690661,0.0143038032351022
"auto",0.00537802323157889,0.0128285865072422,0.0178692864443044,0.0185132151845895,0.0194279926169998
"birthwt",0.0504354960840947,0.0417238772371908,0.0432693834980821,0.0508439613259032,0.0345159649994894
"heart",0.011723273071179,0.0387180657659156,0.0503712836175785,0.0183881565284699,0.029916952399221
"GlaucomaMVF",0.00868076220438379,0.0615573862599171,0.0589671449453552,0.0373064658636087,0.0610556877051876
"titanic",0.0074730398250186,0.00648363023588194,0.00789293114878146,0.00816102600635281,0.00861299849675537
"parkin",0.00864410107053069,0.0412491117753288,0.0444225601767037,0.0408655889358353,0.0425069898829956
"ILPD",0.00507533668388548,0.0192045873839573,0.0312448166304756,0.0378744207885417,0.0256713717396676
"Ionos",0.00761395441727923,0.0194867297099707,0.0250748259443885,0.024803446709782,0.0296402403030751
"pima",0.00426143670438665,0.020571268393887,0.0178659245933166,0.016807582092,0.0311049876166127
"sonar",0.0130192923151217,0.0213568349345611,0.0314690710477784,0.0333240864886411,0.0387409720984406
"trans",0.0162884731573058,0.0177000949551607,0.0172108902321038,0.0123786492374094,0.0149562759097348
"peptide",0.00757282445662751,0.0166579928869136,0.0252722486802969,0.0285301057234873,0.0382045900923913
"hepatitis",0.0105483546233742,0.0897819785101625,0.0617423687255063,0.0604815556714069,0.044778138178818
"derm",0.0108680756941175,0.022427313619849,0.0177443772356394,0.041392415640483,0.0258626438605448
"derm.noi",0.00730870770409432,0.0340964924059675,0.0158375702144147,0.0204786438215741,0.0244107330677609
"iris",0.0679869268479038,0.0768387762191994,0.0206559111797729,0.0272528172742327,0.0328107179116298
"Iris",0.0116746004769455,0.0146733991281948,0.0218185559264597,0.0397771570404701,0.040147874811151
"dystrophy",0.00638272475942369,0.0281342120624436,0.0317885973676543,0.0303825137644736,0.0482671103014962
"smiley",0,0.00706792441637258,0.00463800723491363,0.00859974159818513,0.00984321537348894
"spirals",0.00913546879604199,0.0227845518382332,0.0370535148530198,0.0355902608401044,0.0226104968521533
